id,title,all_artists,genre,release_date,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,emotion
1127,Naked,['James Arthur'],pop,2017,FALSE,72,0.529,0.607,6,-6.781,1,0.0574,0.104,0,0.0631,0.238,101.966,4,Sad
1128,Just You and I,['Tom Walker'],indie anthem-folk,2019,FALSE,65,0.567,0.696,9,-5.416,1,0.301,0.456,0,0.113,0.544,92.061,4,Sad
1129,Say Something,"['A Great Big World', 'Christina Aguilera']",indiecoustica,2014,FALSE,71,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89E-06,0.0913,0.0765,141.284,3,Sad
1130,Your Song - Bonus Track,['Ellie Goulding'],dance pop,2010,FALSE,62,0.547,0.197,10,-12.002,1,0.0303,0.941,0.000756,0.144,0.402,133.85,4,Sad
1131,This Ain't a Love Song,['Scouting For Girls'],dance pop,2010,FALSE,53,0.461,0.915,0,-3.581,1,0.0456,0.000413,0,0.415,0.526,176.701,4,Sad
1132,Hollywood,['Lewis Capaldi'],pop,2019,FALSE,61,0.723,0.669,10,-4.897,1,0.0527,0.553,0,0.0959,0.732,125.038,4,Sad
1133,Half A Man,['Dean Lewis'],australian pop,2019,FALSE,75,0.507,0.204,0,-11.575,1,0.0504,0.855,0,0.143,0.343,77.765,4,Sad
1134,Out Of Love,['Alessia Cara'],canadian contemporary r&b,2018,FALSE,76,0.481,0.267,7,-9.249,1,0.0339,0.8,0,0.249,0.137,117.64,3,Sad
1135,When You Love Someone,['James TW'],neo mellow,2019,FALSE,77,0.681,0.453,7,-6.09,1,0.0278,0.263,0,0.0543,0.348,125.772,4,Sad
1136,Stan,"['Eminem', 'Dido']",detroit hip hop,2000,TRUE,80,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34E-06,0.518,0.507,80.063,4,Sad
1138,Stop And Stare,['OneRepublic'],dance pop,2007,FALSE,48,0.49,0.845,4,-4.49,1,0.033,0.0661,0,0.0893,0.267,92.495,4,Sad
1139,Story of My Life,['One Direction'],boy band,2013,FALSE,81,0.6,0.663,3,-5.802,1,0.0477,0.225,0,0.119,0.286,121.07,4,Sad
1140,Skyscraper,['Demi Lovato'],dance pop,2011,FALSE,0,0.573,0.581,7,-3.325,1,0.0276,0.148,0,0.128,0.188,103.82,4,Sad
1141,Headspace,['Lewis Capaldi'],pop,2019,FALSE,57,0.368,0.228,11,-9.183,1,0.0335,0.865,1.99E-06,0.111,0.194,146.881,3,Sad
1142,You Said You'd Grow Old With Me,['Michael Schulte'],german pop,2012,FALSE,67,0.531,0.347,0,-7.044,1,0.0345,0.905,0,0.0935,0.289,114.441,4,Sad
1143,Lost On You,['Lewis Capaldi'],pop,2019,FALSE,62,0.555,0.282,10,-8.228,1,0.0612,0.889,0,0.0927,0.382,125.522,4,Sad
1144,Rush (feat. Jessie Reyez),"['Lewis Capaldi', 'Jessie Reyez']",pop,2018,FALSE,63,0.631,0.609,1,-7.394,1,0.0886,0.565,0,0.635,0.38,119.636,4,Sad
1145,Tough,['Lewis Capaldi'],pop,2018,FALSE,58,0.627,0.715,1,-5.019,1,0.0329,0.127,0,0.0768,0.481,115.005,4,Sad
1146,The Night We Met,['Lord Huron'],indie folk,2015,FALSE,3,0.443,0.369,9,-9.514,1,0.0441,0.969,0.277,0.638,0.0989,174.107,3,Sad
1147,Too Good At Goodbyes,['Sam Smith'],dance pop,2017,FALSE,81,0.681,0.372,5,-8.237,1,0.0432,0.64,0,0.169,0.476,91.873,4,Sad
1148,Hold My Girl,['George Ezra'],folk-pop,2018,FALSE,71,0.614,0.527,10,-6.374,1,0.0302,0.597,0,0.11,0.354,121.941,4,Sad
1149,Yours,['Ella Henderson'],dance pop,2014,FALSE,60,0.581,0.263,0,-10.411,1,0.032,0.819,0,0.0808,0.229,125.004,4,Sad
1150,I Fall Apart,['Post Malone'],dfw rap,2016,TRUE,80,0.556,0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.95,4,Sad
1151,Safe Inside,['James Arthur'],pop,2016,FALSE,62,0.317,0.547,8,-6.549,1,0.0366,0.187,0,0.121,0.11,117.332,4,Sad
1152,Save Myself,['Ed Sheeran'],pop,2017,FALSE,67,0.552,0.29,10,-5.617,1,0.0448,0.85,0,0.227,0.481,78.842,4,Sad
1153,Purpose,['Justin Bieber'],canadian pop,2015,FALSE,0,0.481,0.285,0,-10.848,1,0.0424,0.9,0,0.123,0.316,130.029,4,Sad
1154,Life Is Worth Living,['Justin Bieber'],canadian pop,2015,FALSE,0,0.558,0.296,10,-9.18,1,0.0427,0.907,0,0.108,0.463,76.04,4,Sad
1155,Love The Way You Lie,"['Eminem', 'Rihanna']",detroit hip hop,2010,TRUE,81,0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,4,Sad
1156,Crying for No Reason,['Katy B'],dance pop,2014,FALSE,44,0.667,0.701,1,-5.285,0,0.0323,0.415,0.000491,0.072,0.241,111.945,4,Sad
1158,Cannonball,['Little Mix'],dance pop,2011,FALSE,0,0.294,0.506,5,-7.083,1,0.113,0.42,0,0.289,0.22,152.104,4,Sad
1159,"Listen (From the Motion Picture ""Dreamgirls"")",['Beyoncé'],dance pop,2007,FALSE,58,0.432,0.637,11,-3.905,1,0.0475,0.416,0,0.113,0.187,122.394,4,Sad
1160,Chasing Pavements,['Adele'],british soul,2008,FALSE,2,0.614,0.47,5,-6.09,0,0.0255,0.291,0,0.111,0.329,80.045,4,Sad
1161,Wasn't Expecting That,['Jamie Lawson'],devon indie,2015,FALSE,63,0.591,0.415,6,-6.936,1,0.0437,0.424,0.000299,0.111,0.197,90.483,4,Sad
1162,Home,['Michael Bublé'],adult standards,2005,FALSE,71,0.608,0.37,7,-9.207,1,0.0306,0.844,1.87E-05,0.112,0.349,127.631,4,Sad
1163,Heart Vacancy,['The Wanted'],boy band,2010,FALSE,46,0.579,0.662,1,-5.201,1,0.0316,0.18,0,0.105,0.272,84.033,4,Sad
1164,Who You Are,['Jessie J'],dance pop,2011,FALSE,61,0.532,0.677,6,-3.912,0,0.0367,0.0225,5.74E-06,0.263,0.21,135.948,4,Sad
1165,Love Yourself,['Justin Bieber'],canadian pop,2015,FALSE,83,0.609,0.378,4,-9.828,1,0.438,0.835,0,0.28,0.515,100.418,4,Sad
1166,You're Beautiful,['James Blunt'],neo mellow,2005,TRUE,77,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76E-05,0.088,0.454,81.998,4,Sad
1167,Iris,['The Goo Goo Dolls'],alternative rock,2007,FALSE,73,0.291,0.79,11,-5.683,0,0.0363,0.00133,5.61E-06,0.0811,0.513,155.667,3,Sad
1168,Wherever You Will Go,['Charlene Soraia'],neo-singer-songwriter,2011,FALSE,61,0.597,0.115,9,-9.217,1,0.0334,0.82,0.000215,0.111,0.128,111.202,4,Sad
1169,Best Thing I Never Had,['Beyoncé'],dance pop,2011,FALSE,49,0.543,0.665,6,-4.072,1,0.0344,0.126,3.05E-05,0.0868,0.286,99.13,4,Sad
1170,You & I,['One Direction'],boy band,2013,FALSE,77,0.574,0.329,1,-6.829,1,0.0274,0.22,0,0.0986,0.356,130.993,4,Sad
1171,Try,['P!nk'],dance pop,2012,FALSE,77,0.674,0.628,2,-7.079,1,0.03,0.00144,0,0.0944,0.552,103.998,4,Sad
1172,Let It Go,['James Bay'],modern rock,2014,FALSE,72,0.546,0.311,1,-10.396,1,0.0288,0.818,1.65E-05,0.107,0.246,147.464,4,Sad
1173,When I Look At You,['Miley Cyrus'],dance pop,2009,FALSE,74,0.459,0.545,6,-4.874,1,0.0282,0.142,0,0.105,0.194,137.941,3,Sad
